teplota,rychlost_vitr,max_naraz_vitr,vlhkost,uhrn_srazky,tlak,mesic,y
14.5,2.2,16.7,70,2.3,1021.786118,5,1
8.4,1.7,12.2,81,4.0,1024.519607,5,1
9.8,1.0,9.2,68,0.0,1028.383101,5,0
14.4,0.8,8.2,61,4.1,1026.532094,5,1
16.6,0.8,13.7,67,1.3,1023.321493,5,1
13.6,2.5,10.6,46,0.0,1022.001597,5,0
13.5,2.4,9.6,47,0.0,1017.666618,5,0
16.7,1.4,11.7,52,0.0,1016.148058,6,0
17.0,1.1,11.1,62,6.3,1011.869722,6,1
18.7,0.7,8.4,65,1.1,1001.074758,6,1
14.9,0.7,4.3,90,10.3,993.3289861,6,1
14.9,2.6,10.7,64,1.7,994.093783,6,1
12.9,1.7,7.3,83,0.6,1002.079449,6,1
12.2,1.0,6.5,91,2.7,1005.53409,6,1
15.1,0.3,6.0,71,0.0,1009.40534,6,0
17.4,2.2,9.9,60,0.0,1009.614934,6,0
15.9,1.1,7.2,76,1.1,1007.443507,6,1
16.3,0.1,3.8,87,0.0,1004.631247,6,0
21.6,0.6,7.5,67,0.0,1005.109663,6,0
22.6,1.1,8.8,72,0.0,1004.897851,6,0
19.7,0.9,7.0,91,7.1,1006.350417,6,1
19.9,1.2,7.3,63,0.0,1009.872976,6,0
20.1,0.6,5.4,60,0.0,1009.921948,6,0
21.7,0.8,8.6,59,0.0,1006.230063,6,0
18.3,2.3,10.0,79,5.7,1005.71659,6,1
17.9,1.4,9.5,71,7.8,1009.930881,6,1
17.5,2.4,11.0,71,0.3,1012.834376,6,1
19.7,3.1,12.6,53,0.0,1013.80108,6,0
20.7,3.0,10.6,53,0.0,1016.304292,6,0
18.7,1.0,9.3,52,0.0,1019.424049,6,0
18.1,1.4,7.7,67,10.8,1019.416726,6,1
19.6,1.3,10.0,69,0.0,1015.818132,6,0
19.4,1.5,7.4,75,0.0,1010.473081,6,0
21.5,1.6,14.1,74,6.6,1007.740344,6,1
21.5,0.4,10.5,81,3.8,1009.862646,6,1
17.4,1.2,9.0,74,0.0,1008.441674,6,0
19.5,4.2,11.6,47,0.0,1006.308597,6,0
23.9,2.6,11.8,54,0.0,1004.715042,7,0
22.3,1.5,10.9,65,0.2,1005.927639,7,1
18.6,3.4,9.9,60,0.0,1011.804125,7,0
21.2,2.4,10.8,55,0.0,1011.707403,7,0
22.6,2.8,12.5,58,0.0,1007.892698,7,0
18.2,3.5,13.8,51,0.0,1008.141792,7,0
16.7,1.9,11.2,54,0.1,1014.424802,7,1
14.5,0.8,9.3,85,3.2,1013.215215,7,1
18.4,0.4,6.7,87,0.2,1011.204431,7,1
21.2,2.2,13.8,70,0.0,1007.12642,7,0
15.7,1.3,8.7,57,0.0,1017.620115,7,0
16.3,1.3,8.1,54,0.0,1021.90324,7,0
18.3,1.0,6.3,51,0.0,1018.363969,7,0
19.6,0.4,5.5,51,0.0,1010.986826,7,0
16.6,0.9,5.6,79,4.2,1008.210573,7,1
15.3,1.1,12.0,77,3.0,1011.104483,7,1
16.9,1.4,7.9,69,0.3,1014.479622,7,1
20.1,1.2,7.9,67,0.0,1013.69824,7,0
20.5,0.5,7.5,74,0.2,1010.847243,7,1
21.8,1.2,13.8,66,0.0,1010.868611,7,0
18.7,1.7,7.2,60,0.0,1015.521101,7,0
18.6,0.6,6.9,47,0.0,1016.066906,7,0
19.1,1.1,6.9,51,0.0,1011.319486,7,0
22.0,1.4,8.3,53,0.0,1006.637903,7,0
22.0,0.2,5.7,56,0.0,1006.989451,7,0
18.5,0.8,9.1,81,1.5,1008.586128,7,1
21.8,0.8,6.1,62,0.0,1010.447497,7,0
23.0,1.8,13.3,57,0.0,1005.940222,7,0
21.5,1.2,9.7,44,0.0,1012.271507,7,0
21.8,1.2,6.6,42,0.0,1014.259271,7,0
22.6,1.0,7.0,43,0.0,1012.838017,7,0
25.2,1.1,6.9,40,0.7,1009.794868,8,1
20.9,1.2,8.5,70,14.3,1007.110681,8,1
17.5,0.8,8.0,78,0.3,1006.217791,8,1
16.4,1.6,9.1,67,0.2,1009.853444,8,1
18.0,0.7,5.7,70,0.0,1014.532056,8,0
22.8,1.3,5.5,55,0.0,1015.831003,8,0
23.6,1.1,6.3,65,0.0,1015.684216,8,0
24.9,0.6,5.4,54,0.0,1014.644767,8,0
26.0,0.3,5.8,53,0.0,1011.521729,8,0
21.9,2.0,10.9,80,3.7,1011.576049,8,1
21.8,0.7,8.6,78,0.9,1013.30122,8,1
23.4,0.9,6.2,66,0.0,1012.687691,8,0
25.6,1.0,6.5,52,0.0,1006.696993,8,0
21.6,1.7,10.4,76,1.5,1007.611201,8,1
21.5,0.9,9.5,80,0.0,1009.149681,8,0
21.4,1.4,7.0,69,0.0,1008.192979,8,0
21.9,1.2,10.8,70,0.8,1005.754444,8,1
19.1,1.1,11.1,86,0.7,1005.189031,8,1
20.5,0.7,8.5,62,0.0,1006.206233,8,0
21.9,0.9,6.3,69,0.0,1007.689552,8,0
27.2,1.2,5.4,52,0.0,1008.125354,8,0
19.2,0.8,12.1,92,10.9,1010.328,8,1
16.2,0.7,12.8,92,5.8,1011.456677,8,1
16.2,0.5,8.8,75,0.0,1011.489903,8,0
18.3,0.9,5.1,67,0.0,1009.290125,8,0
20.2,4.1,19.5,55,0.0,1004.090191,8,0
15.1,2.4,12.8,64,0.0,967.1760876,8,0
16.9,0.3,8.7,80,2.5,1003.356982,8,1
17.1,0.7,7.0,84,1.4,1002.832958,8,1
16.0,0.4,6.8,99,20.1,1002.430785,8,1
16.4,2.4,9.5,76,0.1,1010.777111,8,1
13.1,0.9,8.3,78,0.0,1012.651413,9,0
13.7,1.2,7.3,71,0.0,1014.296,9,0
17.0,1.8,7.5,66,0.4,1017.132323,9,1
18.9,0.0,8.6,80,0.0,1016.983788,9,0
17.3,0.7,9.9,89,1.9,1012.759292,9,1
15.0,1.7,7.3,63,0.0,1014.381087,9,0
14.3,0.4,9.3,72,0.0,1019.904552,9,0
15.7,1.5,7.7,71,0.0,1022.101264,9,0
18.5,0.6,7.7,70,0.0,1016.718153,9,0
16.4,1.0,8.4,63,0.0,1016.319601,9,0
15.7,0.3,5.1,80,0.0,1014.745663,9,0
17.9,1.0,9.1,77,0.0,1015.241437,9,0
19.1,0.2,5.2,74,0.0,1021.130038,9,0
19.8,0.8,5.8,73,0.0,1022.409371,9,0
20.6,0.5,7.5,75,0.0,1017.065076,9,0
20.4,1.0,7.1,72,0.0,1011.787618,9,0
13.8,1.2,10.5,64,0.0,1021.222584,9,0
11.4,0.2,5.2,70,0.0,1024.710765,9,0
13.3,0.8,6.1,65,0.0,1019.38875,9,0
15.5,0.9,7.2,63,0.0,1015.338365,9,0
14.4,0.7,6.6,77,0.0,1013.522831,9,0
15.8,0.5,4.3,77,0.0,1008.600684,9,0
18.1,0.8,5.5,77,0.0,1003.109653,9,0
14.5,0.8,9.4,83,2.5,1000.083657,9,1
12.4,1.8,9.2,85,24.6,994.791133,9,1
6.2,1.6,12.8,92,22.6,994.4774132,9,1
8.0,0.4,6.7,90,0.0,1003.969405,9,0
9.3,0.3,2.8,90,1.2,1010.009844,9,1
11.0,1.1,7.0,79,1.6,1008.971198,9,1
12.1,1.0,5.6,82,0.0,1012.773247,9,0
11.5,0.4,4.3,81,0.0,1003.976042,10,0
14.6,2.5,9.1,82,0.0,997.7029267,10,0
14.9,0.5,9.5,85,1.2,990.8958212,10,1
10.2,1.7,11.3,78,0.0,997.8214795,10,0
10.2,1.4,6.3,97,3.7,1003.035554,10,1
12.3,2.3,12.3,80,0.7,1003.923281,10,1
12.3,3.1,9.5,81,0.5,1008.437968,10,1
13.6,2.1,9.6,77,0.0,1015.422844,10,0
14.4,2.2,9.3,84,1.4,1014.689184,10,1
7.9,2.0,10.3,92,1.2,1012.097611,10,1
5.0,0.2,3.4,92,0.0,1017.530427,10,0
5.8,0.7,7.8,86,0.1,1015.553913,10,1
7.9,1.0,6.9,79,0.8,1011.269892,10,1
8.8,3.6,14.7,85,1.8,1004.232733,10,1
10.7,0.5,6.1,87,0.8,1010.805069,10,1
8.8,0.7,9.2,83,5.0,1009.397517,10,1
7.7,1.4,8.1,90,2.2,1015.344097,10,1
8.3,2.1,11.6,77,0.5,1017.756674,10,1
7.3,0.5,5.1,82,0.0,1020.641687,10,0
4.3,0.5,4.1,95,0.0,1017.446729,10,0
7.0,0.6,3.2,95,0.0,1001.713921,10,0
9.1,0.6,3.3,93,0.9,1013.892545,10,1
11.3,0.2,1.7,98,3.2,1010.063708,10,1
9.9,0.7,7.6,83,0.0,1011.131906,10,0
9.2,0.1,3.4,94,0.0,1007.945932,10,0
9.9,1.1,4.5,96,1.2,1002.222919,10,1
7.2,0.5,6.2,86,0.3,1008.369007,10,1
6.2,0.2,3.7,94,0.2,1011.51642,10,1
7.3,1.6,11.1,89,5.6,1013.179101,10,1
12.1,1.6,14.2,89,0.3,1016.01117,10,1
11.5,0.6,14.8,86,0.3,1017.527127,10,1
